draw_number,draw_date,numbers
4794,2017/11/15,5808
4795,2017/11/16,5360
4796,2017/11/17,5863
4797,2017/11/20,8642
4798,2017/11/21,9840
4799,2017/11/22,3598
4800,2017/11/23,9182
4801,2017/11/24,7288
4802,2017/11/27,9698
4803,2017/11/28,6229
4804,2017/11/29,0740
4805,2017/11/30,6287
4806,2017/12/01,9035
4807,2017/12/04,1556
4808,2017/12/05,2348
4809,2017/12/06,4974
4810,2017/12/07,4991
4811,2017/12/08,0382
4812,2017/12/11,3627
4813,2017/12/12,8528
4814,2017/12/13,1920
4815,2017/12/14,8835
4816,2017/12/15,6907
4817,2017/12/18,0991
4818,2017/12/19,8318
4819,2017/12/20,8333
4820,2017/12/21,9436
4821,2017/12/22,0587
4822,2017/12/25,8894
4823,2017/12/26,6933
4824,2017/12/27,4543
4825,2017/12/28,9664
4826,2017/12/29,7789
4827,2018/01/04,5319
4828,2018/01/05,6489
4829,2018/01/08,5346
4830,2018/01/09,9751
4831,2018/01/10,1523
4832,2018/01/11,5820
4833,2018/01/12,7751
4834,2018/01/15,6605
4835,2018/01/16,5564
4836,2018/01/17,3506
4837,2018/01/18,6110
4838,2018/01/19,3027
4839,2018/01/22,3146
4840,2018/01/23,0341
4841,2018/01/24,6443
4842,2018/01/25,0517
4843,2018/01/26,8334
4844,2018/01/29,9016
4845,2018/01/30,4945
4846,2018/01/31,4148
4847,2018/02/01,7163
4848,2018/02/02,8905
4849,2018/02/05,2859
4850,2018/02/06,2666
4851,2018/02/07,2864
4852,2018/02/08,2675
4853,2018/02/09,9600
4854,2018/02/12,9246
4855,2018/02/13,1509
4856,2018/02/14,6647
4857,2018/02/15,3275
4858,2018/02/16,1540
4859,2018/02/19,5550
4860,2018/02/20,4687
4861,2018/02/21,8987
4862,2018/02/22,2979
4863,2018/02/23,0757
4864,2018/02/26,5510
4865,2018/02/27,7336
4866,2018/02/28,0626
4867,2018/03/01,5061
4868,2018/03/02,1107
4869,2018/03/05,6976
4870,2018/03/06,3501
4871,2018/03/07,8083
4872,2018/03/08,7475
4873,2018/03/09,3159
4874,2018/03/12,1028
4875,2018/03/13,5193
4876,2018/03/14,5563
4877,2018/03/15,6566
4878,2018/03/16,0015
4879,2018/03/19,5637
4880,2018/03/20,5593
4881,2018/03/21,4378
4882,2018/03/22,0662
4883,2018/03/23,2752
4884,2018/03/26,9923
4885,2018/03/27,4445
4886,2018/03/28,6562
4887,2018/03/29,8823
4888,2018/03/30,5424
4889,2018/04/02,9304
4890,2018/04/03,3794
4891,2018/04/04,4950
4892,2018/04/05,3940
4893,2018/04/06,2896
4894,2018/04/09,4115
4895,2018/04/10,6359
4896,2018/04/11,8549
4897,2018/04/12,6818
4898,2018/04/13,2560
4899,2018/04/16,9991
4900,2018/04/17,8323
4901,2018/04/18,0593
4902,2018/04/19,2166
4903,2018/04/20,9161
4904,2018/04/23,1125
4905,2018/04/24,0035
4906,2018/04/25,4198
4907,2018/04/26,0796
4908,2018/04/27,9631
4909,2018/04/30,9814
4910,2018/05/01,6951
4911,2018/05/02,5135
4912,2018/05/03,6884
4913,2018/05/04,5507
4914,2018/05/07,4336
4915,2018/05/08,5108
4916,2018/05/09,8670
4917,2018/05/10,7807
4918,2018/05/11,8659
4919,2018/05/14,6485
4920,2018/05/15,6515
4921,2018/05/16,1143
4922,2018/05/17,8202
4923,2018/05/18,5468
4924,2018/05/21,3636
4925,2018/05/22,0612
4926,2018/05/23,5297
4927,2018/05/24,8310
4928,2018/05/25,0621
4929,2018/05/28,9095
4930,2018/05/29,4696
4931,2018/05/30,2307
4932,2018/05/31,1641
4933,2018/06/01,3031
4934,2018/06/04,0411
4935,2018/06/05,8009
4936,2018/06/06,2374
4937,2018/06/07,5382
4938,2018/06/08,5935
4939,2018/06/11,3076
4940,2018/06/12,6657
4941,2018/06/13,7993
4942,2018/06/14,5121
4943,2018/06/15,7711
4944,2018/06/18,4113
4945,2018/06/19,1762
4946,2018/06/20,2309
4947,2018/06/21,4698
4948,2018/06/22,9473
4949,2018/06/25,2079
4950,2018/06/26,2154
4951,2018/06/27,0185
4952,2018/06/28,7693
4953,2018/06/29,7835
4954,2018/07/02,6807
